SINIESTRO,LAT,LON,TIPOVEH,ANIO,MES,HORA,ESTADO,CIUDAD,_archivo,lat,lon,tipoveh,moto
6056324,22.2867027,-97.8741198,Auto,2020,DICIEMBRE,15,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2867027,-97.8741198,AUTO,False
6056337,22.3385509,-97.8714762,Auto,2020,DICIEMBRE,16,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.3385509,-97.8714762,AUTO,False
6056150,22.2953549,-97.8853159,Auto,2020,DICIEMBRE,16,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2953549,-97.8853159,AUTO,False
6056152,22.2687355,-97.8735875,Auto,2020,DICIEMBRE,16,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2687355,-97.8735875,AUTO,False
6056833,22.2260125,-97.8585146,Auto,2020,DICIEMBRE,6,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2260125,-97.8585146,AUTO,False
6057308,22.2661340,-97.8685230,Auto,2020,DICIEMBRE,10,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.266134,-97.868523,AUTO,False
6056868,22.2186975,-97.8589411,Auto,2020,DICIEMBRE,10,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2186975,-97.8589411,AUTO,False
6055900,22.3169786,-97.8785517,Auto,2020,DICIEMBRE,11,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.3169786,-97.8785517,AUTO,False
6057350,22.2674864,-97.8598988,Auto,2020,DICIEMBRE,12,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2674864,-97.8598988,AUTO,False
6056888,22.2400160,-97.8535537,Auto,2020,DICIEMBRE,12,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.240016,-97.8535537,AUTO,False
6057531,23.7595610,-99.1176663,Auto,2020,DICIEMBRE,13,TAMAULIPAS,VICTORIA,Seguridad_Vial_concatenado_Diciembre_2020.csv,23.759561,-99.1176663,AUTO,False
6056983,22.2687968,-97.8736043,Auto,2020,DICIEMBRE,16,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2687968,-97.8736043,AUTO,False
6056984,22.2687496,-97.8735855,Auto,2020,DICIEMBRE,16,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2687496,-97.8735855,AUTO,False
6056985,22.2687546,-97.8735855,Auto,2020,DICIEMBRE,16,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2687546,-97.8735855,AUTO,False
6058217,22.2281673,-97.8473173,Auto,2020,DICIEMBRE,18,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2281673,-97.8473173,AUTO,False
6058532,22.2209771,-97.8815901,Auto,2020,DICIEMBRE,20,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2209771,-97.8815901,AUTO,False
6058230,22.2722980,-97.8750178,Auto,2020,DICIEMBRE,20,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.272298,-97.8750178,AUTO,False
6058723,22.2722008,-97.8749874,Auto,2020,DICIEMBRE,21,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2722008,-97.8749874,AUTO,False
6058435,22.3106774,-97.8800097,CamiÃ³n,2020,DICIEMBRE,2,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.3106774,-97.8800097,CAMIA3N,False
6058815,22.3223075,-97.8699989,Auto,2020,DICIEMBRE,8,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.3223075,-97.8699989,AUTO,False
6059106,23.7568661,-99.1524183,Auto,2020,DICIEMBRE,12,TAMAULIPAS,VICTORIA,Seguridad_Vial_concatenado_Diciembre_2020.csv,23.7568661,-99.1524183,AUTO,False
6058870,22.2738174,-97.8460822,Auto,2020,DICIEMBRE,14,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2738174,-97.8460822,AUTO,False
