SINIESTRO,LAT,LON,TIPOVEH,ANIO,MES,HORA,ESTADO,CIUDAD,_archivo,lat,lon,tipoveh,moto,urbano,en_rect,ciudad_std
5014921.0,22.2397224,-97.863729,Cami?n,2019,ENERO,10,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2397224,-97.863729,CAMI?N,False,True,True,TAMPICO
5015317.0,22.2191902,-97.8494997,Auto,2019,ENERO,12,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2191902,-97.8494997,AUTO,False,True,True,TAMPICO
5015543.0,22.2959774,-97.8814076,Auto,2019,ENERO,13,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2959774,-97.8814076,AUTO,False,True,True,TAMPICO
5015497.0,22.264023,-97.862883,Auto,2019,ENERO,14,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.264023,-97.862883,AUTO,False,True,True,TAMPICO
5016079.0,22.2514021,-97.8753536,Auto,2019,ENERO,18,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2514021,-97.8753536,AUTO,False,True,True,TAMPICO
5016208.0,22.2791109,-97.883997,Auto,2019,ENERO,19,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2791109,-97.883997,AUTO,False,True,True,TAMPICO
5016404.0,22.2148784,-97.8591929,Auto,2019,ENERO,20,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2148784,-97.8591929,AUTO,False,True,True,TAMPICO
5016635.0,22.2655843,-97.8554357,Auto,2019,ENERO,1,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2655843,-97.8554357,AUTO,False,False,True,TAMPICO
5016923.0,22.3108061,-97.8783148,Auto,2019,ENERO,9,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.3108061,-97.8783148,AUTO,False,True,True,TAMPICO
5017228.0,22.2523898,-97.8615381,Auto,2019,ENERO,13,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2523898,-97.8615381,AUTO,False,True,True,TAMPICO
5017240.0,22.2572302,-97.8766903,Auto,2019,ENERO,13,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2572302,-97.8766903,AUTO,False,True,True,TAMPICO
5015937.0,22.3108953,-97.8759671,Auto,2019,ENERO,13,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.3108953,-97.8759671,AUTO,False,True,True,TAMPICO
5017620.0,22.2331041,-97.861099,Auto,2019,ENERO,18,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2331041,-97.861099,AUTO,False,True,True,TAMPICO
5017767.0,22.2647122,-97.8528361,Auto,2019,ENERO,12,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2647122,-97.8528361,AUTO,False,False,True,TAMPICO
5018079.0,22.2635331,-97.875306,Auto,2019,ENERO,17,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2635331,-97.875306,AUTO,False,True,True,TAMPICO
5018200.0,22.2987468,-97.8763898,Auto,2019,ENERO,18,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2987468,-97.8763898,AUTO,False,True,True,TAMPICO
5018448.0,22.3108377,-97.8801796,Auto,2019,ENERO,21,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.3108377,-97.8801796,AUTO,False,True,True,TAMPICO
