UNIDAD,FECHA DE INICIO,AÑO,DELITO,MODALIDAD,MUNICIPIO_HECHO,LATITUD,LONGITUD,lat,lon,geo_ok
UNIDAD CIUDAD MADERO 2A.,01/03/2016,2016.0,HOMICIDIO,CULPOSO,CIUDAD MADERO,22.2031321360126,-97.8435838222504,22.2031321360126,-97.8435838222504,True
UNIDAD MATAMOROS 1A.,01/03/2016,2016.0,LESIONES,CULPOSO,MATAMOROS,25.9155298945981,-97.5708675384521,25.9155298945981,-97.5708675384521,True
UNIDAD NUEVO LAREDO 1A.,01/03/2016,2016.0,HOMICIDIO,CULPOSO,NUEVO LAREDO,27.4871964831871,-99.5472049713135,27.4871964831871,-99.5472049713135,True
UNIDAD NUEVO LAREDO 1A.,01/03/2016,2016.0,LESIONES,CULPOSO,NUEVO LAREDO,27.4798304288716,-99.5076316595078,27.4798304288716,-99.5076316595078,True
UNIDAD VICTORIA 3A,01/03/2017,2017.0,LESIONES,CULPOSO,VICTORIA,23.7715718815002,-99.1275465488434,23.7715718815002,-99.1275465488434,True
UNIDAD TAMPICO 4,01/03/2017,2017.0,LESIONES,CULPOSO,TAMPICO,22.30566,-97.87900,22.30566,-97.879,True
UNIDAD CIUDAD MADERO 1A.,01/03/2018,2018.0,HOMICIDIO,CULPOSO,CIUDAD MADERO,22.24828409580057,-97.83910439235542,22.24828409580057,-97.83910439235542,True
UNIDAD CIUDAD MADERO 1A.,01/03/2018,2018.0,LESIONES,CULPOSO,CIUDAD MADERO,22.254000169922588,-97.83771937332135,22.254000169922588,-97.83771937332136,True
UNIDAD TAMPICO 4,01/03/2019,2019.0,LESIONES,CULPOSO,TAMPICO,22.30745,-97.88144,22.30745,-97.88144,True
UNIDAD TAMPICO 4,01/03/2019,2019.0,LESIONES,CULPOSO,TAMPICO,22.25394,-97.87621,22.25394,-97.87621,True
UNIDAD TAMPICO 4,01/03/2019,2019.0,LESIONES,CULPOSO,TAMPICO,22.2443622809142,-97.8693759493763,22.2443622809142,-97.8693759493763,True
UNIDAD MATAMOROS 3,01/03/2019,2019.0,LESIONES,CULPOSO,MATAMOROS,25.8781883781756,-97.5490665435791,25.8781883781756,-97.5490665435791,True
UNIDAD MATAMOROS 3,01/03/2019,2019.0,LESIONES,CULPOSO,MATAMOROS,25.8296817980173,-97.5118160247803,25.8296817980173,-97.5118160247803,True
UNIDAD VICTORIA 1A.,01/03/2019,2019.0,LESIONES,CULPOSO,VICTORIA,23.7507860730187,-99.1723506986164,23.7507860730187,-99.1723506986164,True
UNIDAD REYNOSA 2A.,01/03/2020,2020.0,LESIONES,CULPOSO,REYNOSA,26.074309809482916,-98.37219343340169,26.07430980948292,-98.37219343340168,True
UNIDAD REYNOSA 2A.,01/03/2021,2021.0,HOMICIDIO,CULPOSO,REYNOSA,26.082604782981516,-98.30237127445129,26.08260478298152,-98.30237127445127,True
UNIDAD VICTORIA 1A.,01/03/2022,2022.0,LESIONES,CULPOSO,VICTORIA,23.7559110403261,-99.12004966972978,23.7559110403261,-99.12004966972978,True
UNIDAD MATAMOROS 1A.,01/03/2023,2023.0,LESIONES,CULPOSO,MATAMOROS,25.81571581432337,-97.52362847328187,25.81571581432337,-97.52362847328187,True
UNIDAD TAMPICO 3A.,01/03/2023,2023.0,LESIONES,CULPOSO,TAMPICO,22.2263022,97.8952929,22.2263022,-97.8952929,True
UNIDAD TAMPICO 3A.,01/03/2023,2023.0,LESIONES,CULPOSO,TAMPICO,22.2511936,97.8618289,22.2511936,-97.8618289,True
UNIDAD MATAMOROS 1A.,01/03/2024,2024.0,LESIONES,CULPOSO,MATAMOROS,25.865809578259434,-97.50763714313509,25.865809578259437,-97.50763714313509,True
UNIDAD TAMPICO 3A.,01/03/2024,2024.0,LESIONES,CULPOSO,TAMPICO,22.276360484559728,-97.87913771746301,22.276360484559728,-97.879137717463,True
UNIDAD TAMPICO 3A.,01/03/2024,2024.0,LESIONES,CULPOSO,TAMPICO,22.213873338728988,-97.856022694295,22.213873338728988,-97.856022694295,True
ATENCION INMEDIATA DE CIUDAD MADERO,01/03/2024,2024.0,LESIONES,CULPOSO,CIUDAD MADERO,22.247083792210038,-97.83688859456859,22.24708379221004,-97.8368885945686,True
UNIDAD MATAMOROS 1A.,01/03/2025,2025.0,HOMICIDIO,CULPOSO,MATAMOROS,24.858815947306432,-98.14881920814514,24.858815947306432,-98.14881920814514,True
UNIDAD REYNOSA 2A.,01/03/2025,2025.0,HOMICIDIO,CULPOSO,REYNOSA,26.0459389,-98.2883893,26.0459389,-98.2883893,True
UNIDAD CIUDAD MADERO 1A.,01/03/2025,2025.0,LESIONES,CULPOSO,CIUDAD MADERO,22.256782214964975,-97.83447250853699,22.25678221496497,-97.834472508537,True
UNIDAD 1 ADOLESCENTES REYNOSA,01/03/2026,2026.0,LESIONES,CULPOSO,REYNOSA,26.00463144220262,-98.25024962425233,26.00463144220262,-98.25024962425232,True
UNIDAD NUEVO LAREDO 2A.,01/04/2017,2017.0,HOMICIDIO,CULPOSO,NUEVO LAREDO,27.3944253225091,-99.5534491539001,27.3944253225091,-99.5534491539001,True
UNIDAD VICTORIA 3A,01/04/2018,2018.0,HOMICIDIO,CULPOSO,VICTORIA,23.7763096927216,-99.1783522018075,23.7763096927216,-99.1783522018075,True
UNIDAD REYNOSA 2A.,01/04/2018,2018.0,HOMICIDIO,CULPOSO,REYNOSA,26.0080723976605,-98.3354199907457,26.0080723976605,-98.3354199907457,True
UNIDAD CIUDAD MADERO 1A.,01/04/2018,2018.0,HOMICIDIO,CULPOSO,CIUDAD MADERO,22.28024293915194,-97.8543394804001,22.28024293915194,-97.8543394804001,True
UNIDAD MATAMOROS 3,01/04/2019,2019.0,LESIONES,CULPOSO,MATAMOROS,25.843954461284987,-97.55400046401789,25.843954461284987,-97.55400046401788,True
UNIDAD REYNOSA 2A.,01/04/2019,2019.0,LESIONES,CULPOSO,REYNOSA,26.07763,-98.30775,26.07763,-98.30775,True
UNIDAD 1 ADOLESCENTES LAREDO,01/04/2019,2019.0,LESIONES,CULPOSO,NUEVO LAREDO,27.495958502120672,-99.52781402324015,27.495958502120672,-99.52781402324015,True
ATENCION INMEDIATA EN NUEVO LAREDO,01/04/2019,2019.0,LESIONES,CULPOSO,NUEVO LAREDO,27.476758041054854,-99.5128606496847,27.47675804105485,-99.5128606496847,True
ATENCION INMEDIATA VICTORIA,01/04/2019,2019.0,LESIONES,CULPOSO,VICTORIA,23.7358534423608,-99.1373606376583,23.7358534423608,-99.1373606376583,True
