ciudad,res,capa,objetivo,corrida,celdas,total_objetivo,empates,abc,abc_pes,abc_opt,cob_5,techo_5,cob_10,techo_10,cob_15,techo_15,cob_20,techo_20,rho,p
REYNOSA,10,ATUS,fis_hom,ATUS-frecuencia -> homicidios Fiscalia,3227,324.0,0.983,1.0453,1.218,0.8726,9.9,69.4,21.1,100.0,25.6,100.0,28.9,100.0,-0.208,1.054084384837393e-25
REYNOSA,10,AXA,atus_vru,AXA-frecuencia -> victimas VRU (ATUS),3227,205.0,0.993,0.7832,1.0326,0.5338,23.0,94.6,30.1,100.0,36.2,100.0,42.5,100.0,-0.096,4.1448225174329846e-05
REYNOSA,10,ATUS,atus_vru,ATUS-frecuencia -> victimas VRU (ATUS) [CIRCULAR],3227,205.0,0.983,0.3706,0.4575,0.2838,33.4,94.6,44.9,100.0,53.5,100.0,62.7,100.0,0.207,2.7658315636923578e-24
TAMPICO,10,AXA,fis_hom,AXA-frecuencia -> homicidios Fiscalia,1930,154.0,0.974,0.6122,0.6784,0.5459,18.2,93.5,25.4,100.0,48.3,100.0,59.4,100.0,0.068,0.004320164496398529
TAMPICO,10,ATUS,fis_hom,ATUS-frecuencia -> homicidios Fiscalia,1930,154.0,0.979,0.7911,0.9846,0.5977,14.1,93.5,26.7,100.0,34.7,100.0,43.3,100.0,-0.034,0.25005861916370264
TAMPICO,10,AXA,atus_vru,AXA-frecuencia -> victimas VRU (ATUS),1930,324.0,0.974,0.4072,0.4625,0.3518,27.8,60.5,42.7,90.4,53.3,100.0,62.7,100.0,0.286,7.128720234681353e-35
TAMPICO,10,ATUS,atus_vru,ATUS-frecuencia -> victimas VRU (ATUS) [CIRCULAR],1930,324.0,0.979,0.1952,0.2356,0.1548,36.0,60.5,56.3,90.4,68.5,100.0,76.2,100.0,0.413,2.9658331563853547e-47
VICTORIA,10,AXA,fis_hom,AXA-frecuencia -> homicidios Fiscalia,1754,139.0,0.989,1.0068,1.2376,0.776,3.8,79.9,12.9,100.0,23.8,100.0,29.2,100.0,-0.226,1.5771749131269484e-15
VICTORIA,10,ATUS,fis_hom,ATUS-frecuencia -> homicidios Fiscalia,1754,139.0,0.973,1.1591,1.3549,0.9634,8.6,79.9,15.3,100.0,20.5,100.0,21.7,100.0,-0.165,1.8556832874450553e-09
VICTORIA,10,AXA,atus_vru,AXA-frecuencia -> victimas VRU (ATUS),1754,176.0,0.989,0.6133,0.7784,0.4482,19.0,67.6,37.7,100.0,46.1,100.0,50.8,100.0,0.053,0.06666695114872817
VICTORIA,10,ATUS,atus_vru,ATUS-frecuencia -> victimas VRU (ATUS) [CIRCULAR],1754,176.0,0.973,0.2921,0.3495,0.2348,31.7,67.6,47.3,100.0,60.8,100.0,68.9,100.0,0.306,8.221668282265935e-29
